N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,y,n,n,n,y,y,y,y,y,y,y,n,n,n,n,y,y,y,y,y,y,y,linear,default,100,0.71298,0.68178,0.70648,0.53608,0.69414
2,5,y,n,n,n,y,y,y,y,y,y,y,y,n,n,n,y,y,y,y,y,y,y,linear,default,100,0.70332,0.6841,0.70146,0.55818,0.69278
3,5,y,n,n,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,linear,default,100,0.69228,0.67366,0.67674,0.59452,0.67522
