N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE
1,5,y,n,n,n,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,poly,default,100
2,5,y,n,n,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,poly,default,100
3,5,y,n,n,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,poly,default,100
4,5,y,n,n,n,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,rbf,default,100
5,5,y,n,n,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,rbf,default,100
6,5,y,n,n,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,rbf,default,100
7,5,y,n,n,n,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,sigmoid,default,100
8,5,y,n,n,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,sigmoid,default,100
9,5,y,n,n,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,sigmoid,default,100
