N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.6035,0.59848,0.56082,0.48072,0.57968
2,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.67472,0.64478,0.67012,0.46986,0.65744
3,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.47694,0.48434,0.5161,0.4499,0.50022
4,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.58842,0.47014,0.48798,0.4371,0.47908
5,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.45718,0.5542,0.44322,0.43092,0.49874
6,5,n,n,y,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.58814,0.5855,0.60798,0.4851,0.59672
7,5,n,n,y,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.59882,0.55152,0.52084,0.5048,0.53618
8,5,n,n,y,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.51618,0.58284,0.56676,0.47446,0.5748
9,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.56704,0.54838,0.55248,0.46396,0.55042
10,5,n,n,y,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.63786,0.61256,0.57932,0.48892,0.59594
11,5,n,n,y,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.6761,0.65216,0.67448,0.47288,0.66334
12,5,n,n,y,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.67802,0.65414,0.66832,0.47298,0.66124
13,5,n,n,y,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.67964,0.65722,0.67522,0.47518,0.6662
14,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.67938,0.64982,0.67004,0.47178,0.65994
15,5,n,n,y,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.69402,0.67404,0.68524,0.50232,0.67962
16,5,n,n,y,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.47668,0.48652,0.52034,0.44886,0.50346
17,5,n,n,y,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.47852,0.48854,0.5177,0.44954,0.50308
18,5,n,n,y,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.48066,0.47878,0.51354,0.45488,0.49614
19,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.49022,0.47428,0.51366,0.44836,0.49396
20,5,n,n,y,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.49904,0.49126,0.5128,0.4682,0.50204
21,5,n,n,y,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.53698,0.47522,0.4908,0.47894,0.483
22,5,n,n,y,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.52458,0.52412,0.50708,0.47562,0.51556
23,5,n,n,y,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.46244,0.59568,0.4626,0.4065,0.52916
24,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.5618,0.53364,0.46394,0.46992,0.4988
25,5,n,n,y,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.60814,0.5371,0.57096,0.50044,0.554
26,5,n,n,y,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.59002,0.5323,0.52336,0.46088,0.52784
27,5,n,n,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.54792,0.55374,0.55648,0.45232,0.5551
28,5,n,n,y,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.57146,0.57038,0.50364,0.48302,0.537
29,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.49362,0.52958,0.5371,0.40756,0.53334
30,5,n,n,y,n,y,n,n,n,n,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.54292,0.59266,0.56474,0.50472,0.5787
31,5,n,n,y,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.5084,0.51036,0.53336,0.45862,0.52186
32,5,n,n,y,n,y,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.50952,0.5147,0.5331,0.4697,0.5239
33,5,n,n,y,n,y,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.51208,0.50802,0.53544,0.46622,0.52174
34,5,n,n,y,n,y,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.50348,0.51198,0.54024,0.4595,0.5261
35,5,n,n,y,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.50606,0.5063,0.54314,0.47144,0.52472
36,5,n,n,y,n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.52816,0.52248,0.5383,0.50192,0.53038
37,5,n,n,y,n,y,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.58804,0.53,0.6023,0.47096,0.56614
38,5,n,n,y,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.50144,0.4905,0.52052,0.50462,0.5055
39,5,n,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.53036,0.49112,0.57978,0.47512,0.53546
40,5,n,n,y,n,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.55106,0.52014,0.54586,0.46978,0.533
41,5,n,n,y,n,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.53828,0.53484,0.56764,0.52948,0.55126
42,5,n,n,y,n,y,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.50158,0.48338,0.57504,0.48368,0.52922
43,5,n,n,y,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.4732,0.48606,0.58138,0.46868,0.53374
44,5,n,n,y,n,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.4855,0.51046,0.54862,0.51862,0.52956
45,5,n,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.4905,0.48898,0.5576,0.4732,0.5233
46,5,n,n,y,n,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_60.bin,100,0.47222,0.4648,0.5213,0.4806,0.49306
