N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.67928,0.6342,0.67642,0.47088,0.65534
2,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.67782,0.62172,0.68164,0.46992,0.6517
3,5,y,n,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.4075,0.4201,0.37388,0.46886,0.397
4,5,y,n,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.66854,0.60132,0.65656,0.46886,0.62892
5,5,y,n,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.65016,0.57108,0.64068,0.46886,0.60588
6,5,y,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.6847,0.65268,0.68084,0.48418,0.66674
7,5,y,n,n,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.68466,0.64192,0.67762,0.4822,0.65978
8,5,y,n,n,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.68514,0.65264,0.67896,0.47274,0.6658
9,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.68312,0.63392,0.67574,0.48348,0.65482
10,5,y,n,n,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.6935,0.66326,0.6846,0.52624,0.67394
11,5,y,n,n,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.68462,0.62726,0.68726,0.46984,0.65726
12,5,y,n,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.68366,0.62472,0.68174,0.46988,0.65324
13,5,y,n,n,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.68362,0.62688,0.6799,0.46988,0.6534
14,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.67972,0.62468,0.67994,0.46988,0.65234
15,5,y,n,n,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.69096,0.63754,0.68438,0.4698,0.66094
16,5,y,n,n,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.41838,0.44378,0.38196,0.4688,0.41286
17,5,y,n,n,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.46842,0.434,0.39964,0.46882,0.41682
18,5,y,n,n,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.44274,0.50694,0.48198,0.46882,0.49446
19,5,y,n,n,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.45268,0.46078,0.49696,0.47084,0.47888
20,5,y,n,n,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.52728,0.53998,0.54966,0.47354,0.54484
21,5,y,n,n,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.66968,0.61736,0.66314,0.47334,0.64024
22,5,y,n,n,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.66968,0.6181,0.66456,0.47696,0.64134
23,5,y,n,n,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.67846,0.63888,0.65908,0.47912,0.649
24,5,y,n,n,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.67234,0.61108,0.66102,0.47208,0.63606
25,5,y,n,n,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.69384,0.65442,0.67908,0.51792,0.66674
26,5,y,n,n,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.6585,0.58378,0.66284,0.4688,0.62332
27,5,y,n,n,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.65402,0.58542,0.64264,0.46876,0.61402
28,5,y,n,n,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.66046,0.62134,0.6445,0.4736,0.63292
29,5,y,n,n,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.6598,0.59602,0.65252,0.4698,0.6243
30,5,y,n,n,n,y,n,n,n,n,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.67968,0.6425,0.66836,0.49918,0.65546
31,5,y,n,n,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.69726,0.66148,0.68376,0.533,0.67264
32,5,y,n,n,n,y,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.69838,0.65544,0.6708,0.53062,0.6631
33,5,y,n,n,n,y,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.69982,0.66554,0.6682,0.52816,0.66686
34,5,y,n,n,n,y,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.70056,0.65884,0.67522,0.52354,0.66702
35,5,y,n,n,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_30.bin,100,0.6834,0.64968,0.66848,0.5718,0.65908
