N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.68498,0.64996,0.68656,0.47626,0.66824
2,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.68834,0.63312,0.6842,0.46862,0.65866
3,5,y,n,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.408,0.41966,0.37398,0.46886,0.39684
4,5,y,n,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.65814,0.5949,0.65758,0.46886,0.62626
5,5,y,n,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.66096,0.57902,0.65564,0.46886,0.61732
6,5,y,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.69154,0.6681,0.68678,0.4923,0.67742
7,5,y,n,n,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.68594,0.6559,0.68344,0.47942,0.66966
8,5,y,n,n,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.696,0.66034,0.6814,0.48792,0.67086
9,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.68796,0.64788,0.68646,0.48578,0.66716
10,5,y,n,n,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.7028,0.66604,0.68408,0.53186,0.67506
11,5,y,n,n,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.69516,0.6396,0.68916,0.46852,0.66438
12,5,y,n,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.68792,0.63242,0.68422,0.46866,0.6583
13,5,y,n,n,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.6939,0.63904,0.68804,0.46976,0.66352
14,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.68936,0.6377,0.68672,0.46864,0.6622
15,5,y,n,n,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.69964,0.64722,0.69382,0.47074,0.67052
16,5,y,n,n,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.41872,0.4447,0.3822,0.46886,0.41344
17,5,y,n,n,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.48076,0.4356,0.39512,0.46886,0.41536
18,5,y,n,n,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.44762,0.51338,0.47872,0.46878,0.49604
19,5,y,n,n,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.45238,0.46048,0.49536,0.4733,0.47792
20,5,y,n,n,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.52896,0.54436,0.55054,0.4727,0.54744
21,5,y,n,n,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.6672,0.6008,0.66352,0.47106,0.63216
22,5,y,n,n,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_80.bin,100,0.66164,0.60124,0.66444,0.46986,0.63282
