N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.68086,0.63798,0.67896,0.4764,0.65848
2,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.6868,0.6253,0.6845,0.46984,0.6549
3,5,y,n,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.40756,0.41962,0.37392,0.46886,0.3968
4,5,y,n,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.66408,0.58986,0.64598,0.46886,0.6179
5,5,y,n,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.65208,0.58736,0.65786,0.46884,0.6226
6,5,y,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.6907,0.65364,0.68338,0.48772,0.66852
7,5,y,n,n,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.69154,0.64524,0.67758,0.48722,0.66138
8,5,y,n,n,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.69436,0.65396,0.6803,0.4846,0.66714
9,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.68694,0.63646,0.68336,0.4858,0.65992
10,5,y,n,n,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.69728,0.65682,0.68562,0.53508,0.67122
11,5,y,n,n,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.68976,0.62974,0.68892,0.47082,0.65932
12,5,y,n,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.68356,0.62882,0.68586,0.46984,0.65736
13,5,y,n,n,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.68608,0.63294,0.68626,0.46984,0.6596
14,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.68598,0.62576,0.68514,0.46984,0.65544
15,5,y,n,n,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.69616,0.64208,0.6954,0.47082,0.66872
16,5,y,n,n,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.41758,0.4428,0.38172,0.46884,0.41224
17,5,y,n,n,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_70.bin,100,0.47656,0.43444,0.39542,0.46878,0.41494
