N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.5824,0.5815,0.59708,0.47758,0.58928
2,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.66176,0.62562,0.65636,0.46878,0.641
3,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.47544,0.50752,0.5436,0.50424,0.52558
4,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.53628,0.46938,0.52982,0.44988,0.49962
5,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.50584,0.53048,0.4507,0.42818,0.4906
6,5,n,n,y,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.57224,0.56988,0.58334,0.4948,0.5766
7,5,n,n,y,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.50532,0.60368,0.56794,0.47098,0.58582
8,5,n,n,y,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.58464,0.58848,0.55184,0.50936,0.57018
9,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.54542,0.58198,0.53782,0.49398,0.55992
10,5,n,n,y,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.60972,0.5931,0.55172,0.55926,0.5724
11,5,n,n,y,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.6708,0.6387,0.66386,0.47088,0.65126
12,5,n,n,y,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.66116,0.64096,0.65574,0.46956,0.64834
13,5,n,n,y,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.66852,0.63788,0.656,0.47092,0.64694
14,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.66694,0.6387,0.65302,0.46982,0.64588
15,5,n,n,y,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.67846,0.65788,0.66272,0.49134,0.6603
16,5,n,n,y,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.48144,0.49976,0.52916,0.50838,0.51444
17,5,n,n,y,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.49358,0.5082,0.5472,0.49732,0.5277
18,5,n,n,y,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.5005,0.52568,0.5369,0.50142,0.5313
19,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.49334,0.51872,0.53758,0.5058,0.52814
20,5,n,n,y,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.511,0.5261,0.53638,0.48192,0.53122
21,5,n,n,y,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.5307,0.52104,0.53032,0.4737,0.5257
22,5,n,n,y,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.61944,0.54252,0.48282,0.49218,0.51268
23,5,n,n,y,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.55398,0.53228,0.45026,0.48256,0.49128
24,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.52384,0.51284,0.53256,0.46798,0.52272
25,5,n,n,y,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.6051,0.56088,0.53114,0.50952,0.54604
26,5,n,n,y,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.55818,0.54774,0.50816,0.5047,0.52792
27,5,n,n,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.4758,0.50294,0.5263,0.45758,0.5146
28,5,n,n,y,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.4736,0.57368,0.47132,0.47942,0.52248
29,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.5269,0.52984,0.55358,0.4757,0.54172
30,5,n,n,y,n,y,n,n,n,n,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.59316,0.57098,0.5828,0.51402,0.57688
31,5,n,n,y,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.54646,0.54804,0.57218,0.52284,0.56012
32,5,n,n,y,n,y,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.5467,0.55526,0.55134,0.51652,0.5533
33,5,n,n,y,n,y,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.55066,0.55518,0.55956,0.50168,0.55736
34,5,n,n,y,n,y,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.54754,0.56564,0.55804,0.5108,0.56186
35,5,n,n,y,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.5678,0.57694,0.58026,0.52448,0.57862
36,5,n,n,y,n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.55032,0.52548,0.52994,0.4978,0.52772
37,5,n,n,y,n,y,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.58236,0.50858,0.59844,0.46974,0.55354
38,5,n,n,y,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.4712,0.46638,0.48602,0.49468,0.4762
39,5,n,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.54904,0.49482,0.5717,0.46886,0.5333
40,5,n,n,y,n,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.51482,0.5006,0.57258,0.46886,0.5366
41,5,n,n,y,n,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.59584,0.51762,0.57736,0.51582,0.5475
42,5,n,n,y,n,y,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.45938,0.48942,0.51806,0.47922,0.50376
43,5,n,n,y,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.44744,0.48106,0.5755,0.46874,0.5283
44,5,n,n,y,n,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.46176,0.49808,0.53082,0.51448,0.51446
45,5,n,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.49624,0.49434,0.56198,0.48006,0.52816
46,5,n,n,y,n,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.49532,0.49456,0.528,0.47434,0.51128
47,5,n,n,y,n,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.49456,0.50354,0.56106,0.50674,0.53232
48,5,n,n,y,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.4276,0.5523,0.51732,0.47078,0.53484
49,5,n,n,y,n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.42876,0.52564,0.50218,0.47108,0.51394
50,5,n,n,y,n,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.41986,0.51322,0.4961,0.4696,0.50466
51,5,n,n,y,n,y,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.42818,0.5322,0.5287,0.46882,0.53048
52,5,n,n,y,n,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.4305,0.54034,0.53078,0.46884,0.53558
53,5,n,n,y,n,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_10.bin,100,0.46108,0.54566,0.5366,0.4986,0.54116
