N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_500.bin,100,0.58424,0.62268,0.60754,0.43808,0.61512
2,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_500.bin,100,0.66468,0.65438,0.67544,0.46984,0.6649
3,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_500.bin,100,0.49328,0.486,0.49696,0.44452,0.49146
4,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_500.bin,100,0.49186,0.40788,0.51098,0.48342,0.45942
5,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_500.bin,100,0.49592,0.51598,0.47424,0.41948,0.49514
6,5,n,n,y,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_500.bin,100,0.52278,0.47762,0.56238,0.51438,0.52
7,5,n,n,y,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_500.bin,100,0.53192,0.58652,0.61392,0.4907,0.60022
8,5,n,n,y,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_500.bin,100,0.4615,0.55208,0.52918,0.4834,0.54062
9,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_500.bin,100,0.57362,0.6165,0.62286,0.46464,0.61968
10,5,n,n,y,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_500.bin,100,0.5749,0.53072,0.64752,0.544,0.5891
