N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_20.bin,100,0.67852,0.62764,0.67404,0.47198,0.65082
2,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_20.bin,100,0.68422,0.62012,0.68112,0.47,0.65058
3,5,y,n,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_20.bin,100,0.4075,0.42066,0.37388,0.46886,0.39726
4,5,y,n,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_20.bin,100,0.66182,0.58698,0.64574,0.46886,0.61634
5,5,y,n,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_20.bin,100,0.6525,0.58786,0.6659,0.46886,0.6269
6,5,y,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_20.bin,100,0.6801,0.6414,0.67368,0.48062,0.65752
7,5,y,n,n,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_20.bin,100,0.6837,0.63496,0.675,0.48404,0.65498
8,5,y,n,n,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_20.bin,100,0.68658,0.64586,0.6705,0.47478,0.6582
9,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_20.bin,100,0.68258,0.62926,0.67504,0.47988,0.65216
10,5,y,n,n,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_20.bin,100,0.69124,0.6615,0.6737,0.53188,0.66762
