N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.54968,0.55402,0.55508,0.46936,0.55456
2,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.66636,0.63922,0.67254,0.46982,0.65586
3,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.47564,0.48824,0.52418,0.45948,0.5062
4,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.44464,0.49792,0.46374,0.43114,0.48082
5,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.4656,0.50656,0.5087,0.47186,0.50766
6,5,n,n,y,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.5445,0.59518,0.586,0.4826,0.5906
7,5,n,n,y,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.60068,0.53762,0.5081,0.50608,0.52286
8,5,n,n,y,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.51332,0.61354,0.57878,0.50224,0.59616
9,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.55796,0.5779,0.57004,0.50762,0.57398
10,5,n,n,y,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.57848,0.56414,0.6166,0.5217,0.59036
11,5,n,n,y,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.67782,0.65146,0.67952,0.46948,0.6655
12,5,n,n,y,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.66982,0.6501,0.67572,0.4707,0.6629
13,5,n,n,y,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.6716,0.64992,0.67438,0.4707,0.66218
14,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.67314,0.64656,0.67614,0.47052,0.66134
15,5,n,n,y,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.69294,0.67012,0.68114,0.49568,0.67566
16,5,n,n,y,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.48568,0.48022,0.52148,0.45484,0.50084
17,5,n,n,y,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.48992,0.4923,0.52364,0.4689,0.508
18,5,n,n,y,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.4816,0.48192,0.52626,0.46362,0.5041
19,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.48238,0.49082,0.52834,0.45574,0.5096
20,5,n,n,y,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.48786,0.50034,0.5198,0.47832,0.51006
21,5,n,n,y,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.4276,0.49244,0.54018,0.48198,0.5163
22,5,n,n,y,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.50788,0.57248,0.43986,0.4734,0.50618
23,5,n,n,y,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.51082,0.5557,0.47178,0.4596,0.51372
24,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.5712,0.53038,0.46756,0.47354,0.49896
25,5,n,n,y,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.6022,0.59386,0.53384,0.5102,0.56384
26,5,n,n,y,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.51518,0.53738,0.50306,0.4726,0.52022
27,5,n,n,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.54514,0.54146,0.48084,0.48656,0.51116
28,5,n,n,y,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_30.bin,100,0.5459,0.55026,0.49036,0.4741,0.5203
