N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.49818,0.59744,0.45718,0.49142,0.52728
2,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.66746,0.65298,0.6731,0.46866,0.66306
3,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.4821,0.48358,0.51402,0.43928,0.49878
4,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.5198,0.52084,0.41494,0.47246,0.4679
5,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.53892,0.53516,0.45354,0.47976,0.49436
6,5,n,n,y,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.55368,0.61702,0.5174,0.53316,0.56718
7,5,n,n,y,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.55306,0.62314,0.55204,0.5062,0.5876
8,5,n,n,y,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.54046,0.59568,0.5694,0.51408,0.58254
9,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.59342,0.61548,0.54562,0.4932,0.58054
10,5,n,n,y,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.5454,0.58984,0.6213,0.51376,0.60558
11,5,n,n,y,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.67448,0.66258,0.67386,0.47276,0.66822
12,5,n,n,y,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.67862,0.66312,0.6735,0.47068,0.66832
13,5,n,n,y,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.67196,0.66052,0.67612,0.47304,0.6683
14,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.67462,0.64666,0.67266,0.47388,0.65966
15,5,n,n,y,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.69456,0.66782,0.6894,0.49958,0.67862
16,5,n,n,y,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.49016,0.48566,0.51812,0.45368,0.50188
17,5,n,n,y,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.48344,0.48146,0.50756,0.44102,0.49452
18,5,n,n,y,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.48488,0.47364,0.51462,0.43724,0.49416
19,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.48408,0.47278,0.51604,0.44554,0.49442
20,5,n,n,y,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.48428,0.47652,0.51432,0.46166,0.49542
21,5,n,n,y,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.53072,0.51868,0.5116,0.48982,0.51514
22,5,n,n,y,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.57048,0.49596,0.53838,0.4765,0.51716
23,5,n,n,y,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100,0.4791,0.58224,0.53954,0.46402,0.56088
