N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.68016,0.64112,0.67434,0.47336,0.65774
2,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.68556,0.62558,0.67726,0.4711,0.65142
3,5,y,n,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.40756,0.4201,0.37394,0.46886,0.39702
4,5,y,n,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.64908,0.59952,0.64716,0.46886,0.62336
5,5,y,n,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.66166,0.60268,0.65954,0.46886,0.63108
6,5,y,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.6864,0.65328,0.67976,0.48702,0.66652
7,5,y,n,n,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.68804,0.64458,0.67664,0.4853,0.66062
8,5,y,n,n,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.68722,0.65872,0.67984,0.48286,0.66926
9,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.68668,0.64274,0.67878,0.47914,0.66076
10,5,y,n,n,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.70186,0.6675,0.68198,0.53358,0.67474
11,5,y,n,n,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.6931,0.63814,0.68358,0.47104,0.66082
12,5,y,n,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.68338,0.63184,0.67832,0.47108,0.65508
13,5,y,n,n,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.68876,0.6342,0.6799,0.47096,0.65702
14,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.68834,0.62632,0.67768,0.4711,0.652
15,5,y,n,n,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.69664,0.64618,0.68618,0.47102,0.6662
16,5,y,n,n,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.4206,0.43752,0.38242,0.4688,0.40996
17,5,y,n,n,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.4779,0.4357,0.39922,0.46876,0.41746
18,5,y,n,n,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.45016,0.5121,0.48068,0.46886,0.49638
19,5,y,n,n,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.45418,0.46412,0.50676,0.47102,0.48546
20,5,y,n,n,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.53066,0.54358,0.55088,0.47372,0.54724
21,5,y,n,n,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.66316,0.61208,0.66334,0.46882,0.63774
22,5,y,n,n,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.6679,0.6104,0.64752,0.4688,0.62896
23,5,y,n,n,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.66138,0.63952,0.65098,0.46994,0.64526
24,5,y,n,n,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.6573,0.60764,0.65058,0.471,0.62912
25,5,y,n,n,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.68596,0.65344,0.67438,0.50286,0.66392
26,5,y,n,n,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.66256,0.61382,0.66352,0.4713,0.63868
27,5,y,n,n,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.66946,0.61892,0.65618,0.47232,0.63754
28,5,y,n,n,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.6714,0.63524,0.65916,0.47206,0.64722
29,5,y,n,n,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.67008,0.61858,0.66372,0.4768,0.64114
30,5,y,n,n,n,y,n,n,n,n,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.68128,0.65804,0.675,0.51522,0.66654
31,5,y,n,n,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.69364,0.68028,0.6784,0.55306,0.67934
32,5,y,n,n,n,y,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.69558,0.66938,0.67448,0.55144,0.67194
33,5,y,n,n,n,y,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.705,0.6742,0.68242,0.5394,0.67832
34,5,y,n,n,n,y,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.69618,0.67548,0.68142,0.54066,0.67846
35,5,y,n,n,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.68414,0.67084,0.66274,0.58194,0.6668
36,5,y,n,n,n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.58804,0.5068,0.63112,0.4698,0.56896
37,5,y,n,n,n,y,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.58352,0.49608,0.60012,0.46882,0.5481
38,5,y,n,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.42022,0.4367,0.38248,0.4688,0.40958
39,5,y,n,n,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.55978,0.51496,0.61222,0.46886,0.56358
40,5,y,n,n,n,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.55886,0.5181,0.61486,0.46886,0.56648
41,5,y,n,n,n,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.6272,0.55642,0.64778,0.47726,0.6021
42,5,y,n,n,n,y,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.472,0.47922,0.59412,0.47012,0.53668
43,5,y,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.42184,0.4298,0.52882,0.46886,0.4793
44,5,y,n,n,n,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.4779,0.43534,0.39928,0.46876,0.4173
45,5,y,n,n,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.4881,0.46252,0.5992,0.46886,0.53084
46,5,y,n,n,n,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.4851,0.46404,0.59496,0.46886,0.52948
47,5,y,n,n,n,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.51356,0.5052,0.60686,0.47656,0.55602
48,5,y,n,n,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.44312,0.55112,0.53256,0.46876,0.54184
49,5,y,n,n,n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.40886,0.47414,0.41512,0.46886,0.44462
50,5,y,n,n,n,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.45016,0.51178,0.48066,0.46886,0.49622
51,5,y,n,n,n,y,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.45502,0.55172,0.5371,0.46886,0.54444
52,5,y,n,n,n,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.44954,0.55298,0.53604,0.46886,0.54454
53,5,y,n,n,n,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.46222,0.57,0.54272,0.47236,0.55636
54,5,y,n,n,n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.43912,0.45886,0.54198,0.47102,0.5004
55,5,y,n,n,n,y,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.40874,0.43078,0.44854,0.46886,0.43964
56,5,y,n,n,n,y,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.45372,0.4642,0.50676,0.47102,0.48546
57,5,y,n,n,n,y,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.45296,0.4719,0.57702,0.46886,0.52446
58,5,y,n,n,n,y,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.44986,0.47104,0.57968,0.46992,0.52538
59,5,y,n,n,n,y,y,y,y,y,y,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.46106,0.50336,0.57692,0.47784,0.54014
60,5,y,n,n,n,y,y,n,n,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.66178,0.62748,0.67494,0.49668,0.65122
61,5,y,n,n,n,y,n,y,n,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.6308,0.56126,0.65286,0.46984,0.60704
62,5,y,n,n,n,y,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.5308,0.54382,0.5498,0.47372,0.54684
63,5,y,n,n,n,y,n,n,n,y,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.65616,0.61958,0.66422,0.481,0.6419
64,5,y,n,n,n,y,n,n,n,n,y,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.65178,0.62714,0.66002,0.48386,0.64356
65,5,y,n,n,n,y,y,y,y,y,y,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_40.bin,100,0.66678,0.65266,0.66236,0.5589,0.65754
