N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.68524,0.64646,0.6849,0.4732,0.66566
2,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.685,0.64056,0.68472,0.46864,0.66262
3,5,y,n,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.40752,0.41962,0.37392,0.46886,0.3968
4,5,y,n,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.65788,0.5922,0.6475,0.46886,0.61986
5,5,y,n,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.62636,0.58898,0.64562,0.46886,0.61732
6,5,y,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.69148,0.66866,0.68258,0.49078,0.67562
7,5,y,n,n,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.68418,0.64886,0.68078,0.47818,0.66482
8,5,y,n,n,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.69172,0.6621,0.68362,0.48376,0.67284
9,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.68702,0.65214,0.686,0.48318,0.66908
10,5,y,n,n,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.6954,0.67318,0.6805,0.52844,0.67684
11,5,y,n,n,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.68392,0.64356,0.68938,0.46848,0.66648
12,5,y,n,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.68554,0.64246,0.68172,0.46862,0.66206
13,5,y,n,n,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.6882,0.64212,0.6868,0.46982,0.66446
14,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.68892,0.63948,0.6882,0.46868,0.66384
15,5,y,n,n,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.7016,0.65,0.691,0.47078,0.6705
16,5,y,n,n,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.41706,0.43884,0.38204,0.4688,0.41044
17,5,y,n,n,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.48008,0.43736,0.39792,0.46882,0.41764
18,5,y,n,n,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.44784,0.5124,0.48126,0.46886,0.49682
19,5,y,n,n,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.44874,0.46072,0.48306,0.4709,0.47188
20,5,y,n,n,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.52858,0.53886,0.54394,0.47034,0.54138
21,5,y,n,n,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.67634,0.6139,0.66234,0.47102,0.63812
22,5,y,n,n,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.66646,0.60718,0.6535,0.46882,0.63036
23,5,y,n,n,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.6688,0.63398,0.65206,0.4688,0.643
24,5,y,n,n,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.66704,0.60858,0.65374,0.4711,0.63116
25,5,y,n,n,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.69406,0.65038,0.67908,0.49734,0.66474
26,5,y,n,n,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.6424,0.6026,0.65332,0.47114,0.62796
27,5,y,n,n,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.64562,0.6023,0.65594,0.47002,0.62914
28,5,y,n,n,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.64982,0.63476,0.6523,0.46882,0.64354
29,5,y,n,n,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.64178,0.60202,0.65198,0.47122,0.627
30,5,y,n,n,n,y,n,n,n,n,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.67326,0.65118,0.66922,0.50344,0.66018
31,5,y,n,n,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.7038,0.67532,0.6839,0.53996,0.67964
32,5,y,n,n,n,y,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.6981,0.67858,0.68158,0.51854,0.68008
33,5,y,n,n,n,y,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.70138,0.6827,0.68402,0.52168,0.68334
34,5,y,n,n,n,y,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.70886,0.6719,0.68564,0.52986,0.67878
35,5,y,n,n,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.68478,0.6716,0.67296,0.574,0.67226
36,5,y,n,n,n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.58602,0.51408,0.62712,0.47422,0.57058
37,5,y,n,n,n,y,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.57952,0.49154,0.59984,0.46878,0.54566
38,5,y,n,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.41762,0.4381,0.38172,0.4688,0.40992
39,5,y,n,n,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.56808,0.51404,0.63312,0.46886,0.5736
40,5,y,n,n,n,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.54894,0.51738,0.6103,0.46886,0.56382
41,5,y,n,n,n,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.62708,0.56368,0.65712,0.48092,0.6104
42,5,y,n,n,n,y,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.46812,0.47774,0.59732,0.46886,0.53752
43,5,y,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.42322,0.43028,0.53886,0.46886,0.48458
44,5,y,n,n,n,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.47972,0.43742,0.39798,0.46882,0.4177
45,5,y,n,n,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.49064,0.46374,0.6068,0.46886,0.53526
46,5,y,n,n,n,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.4984,0.47882,0.61032,0.46886,0.54456
47,5,y,n,n,n,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.51858,0.50968,0.61328,0.46954,0.56148
48,5,y,n,n,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.44116,0.5547,0.54356,0.46886,0.54912
49,5,y,n,n,n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.40878,0.47856,0.4216,0.46886,0.45008
50,5,y,n,n,n,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.44756,0.51316,0.48142,0.46886,0.49728
51,5,y,n,n,n,y,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.45398,0.5571,0.54796,0.46886,0.55254
52,5,y,n,n,n,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.44948,0.56064,0.54344,0.46886,0.55204
53,5,y,n,n,n,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.45954,0.57512,0.54886,0.47128,0.56202
54,5,y,n,n,n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.43508,0.45458,0.53892,0.47102,0.49672
55,5,y,n,n,n,y,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.40966,0.42998,0.45388,0.46886,0.44194
56,5,y,n,n,n,y,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.44842,0.46078,0.48322,0.4709,0.472
57,5,y,n,n,n,y,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.4518,0.46694,0.579,0.46882,0.52298
58,5,y,n,n,n,y,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.44514,0.4682,0.57938,0.46882,0.5238
59,5,y,n,n,n,y,y,y,y,y,y,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.4602,0.49584,0.58148,0.48008,0.53866
60,5,y,n,n,n,y,y,n,n,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.66298,0.63386,0.6727,0.50042,0.65328
61,5,y,n,n,n,y,n,y,n,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.63746,0.57176,0.6584,0.46874,0.61506
62,5,y,n,n,n,y,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.52964,0.54006,0.54458,0.47034,0.5423
63,5,y,n,n,n,y,n,n,n,y,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.65968,0.61604,0.66968,0.48004,0.64288
64,5,y,n,n,n,y,n,n,n,n,y,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.6538,0.63098,0.6649,0.48438,0.64794
65,5,y,n,n,n,y,y,y,y,y,y,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_w2v_100.bin,100,0.6667,0.64852,0.67058,0.54514,0.65954
