N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE
1,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
2,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
3,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
4,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
5,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
6,5,n,n,y,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
7,5,n,n,y,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
8,5,n,n,y,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
9,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
10,5,n,n,y,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
11,5,n,n,y,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
12,5,n,n,y,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
13,5,n,n,y,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
14,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
15,5,n,n,y,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
16,5,n,n,y,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
17,5,n,n,y,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
18,5,n,n,y,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
19,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
20,5,n,n,y,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
21,5,n,n,y,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
22,5,n,n,y,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
23,5,n,n,y,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
24,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
25,5,n,n,y,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
26,5,n,n,y,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
27,5,n,n,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
28,5,n,n,y,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
29,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
30,5,n,n,y,n,y,n,n,n,n,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
31,5,n,n,y,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
32,5,n,n,y,n,y,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
33,5,n,n,y,n,y,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
34,5,n,n,y,n,y,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
35,5,n,n,y,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
36,5,n,n,y,n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
37,5,n,n,y,n,y,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
38,5,n,n,y,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
39,5,n,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
40,5,n,n,y,n,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
41,5,n,n,y,n,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
42,5,n,n,y,n,y,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
43,5,n,n,y,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
44,5,n,n,y,n,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
45,5,n,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
46,5,n,n,y,n,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
47,5,n,n,y,n,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
48,5,n,n,y,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
49,5,n,n,y,n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
50,5,n,n,y,n,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
51,5,n,n,y,n,y,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
52,5,n,n,y,n,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
53,5,n,n,y,n,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
54,5,n,n,y,n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
55,5,n,n,y,n,y,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
56,5,n,n,y,n,y,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
57,5,n,n,y,n,y,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
58,5,n,n,y,n,y,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
59,5,n,n,y,n,y,y,y,y,y,y,n,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
60,5,n,n,y,n,y,y,n,n,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
61,5,n,n,y,n,y,n,y,n,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
62,5,n,n,y,n,y,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
63,5,n,n,y,n,y,n,n,n,y,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
64,5,n,n,y,n,y,n,n,n,n,y,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
65,5,n,n,y,n,y,y,y,y,y,y,n,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_100.bin,100
